./push_swap `ruby -e "puts (0..99).to_a.shuffle.join(' ')"`
op[915] range[0] chunck[1] size[100]
op[813] range[1] chunck[1] size[100]
op[749] range[2] chunck[1] size[100]
op[716] range[3] chunck[1] size[100]
op[727] range[4] chunck[1] size[100]
op[724] range[5] chunck[1] size[100]
op[705] range[6] chunck[1] size[100]
op[799] range[7] chunck[1] size[100]
op[753] range[8] chunck[1] size[100]
op[779] range[9] chunck[1] size[100]
op[827] range[10] chunck[1] size[100]
op[746] range[11] chunck[1] size[100]
op[785] range[12] chunck[1] size[100]
op[953] range[13] chunck[1] size[100]
op[839] range[14] chunck[1] size[100]
op[802] range[15] chunck[1] size[100]
op[924] range[16] chunck[1] size[100]
op[897] range[17] chunck[1] size[100]
op[803] range[18] chunck[1] size[100]
op[792] range[19] chunck[1] size[100]
op[839] range[20] chunck[1] size[100]
op[902] range[21] chunck[1] size[100]
op[872] range[22] chunck[1] size[100]
op[1036] range[23] chunck[1] size[100]
op[1004] range[24] chunck[1] size[100]
op[1011] range[25] chunck[1] size[100]
op[958] range[26] chunck[1] size[100]
op[1216] range[27] chunck[1] size[100]
op[991] range[28] chunck[1] size[100]
op[1259] range[29] chunck[1] size[100]
op[1261] range[30] chunck[1] size[100]
op[1223] range[31] chunck[1] size[100]
op[1174] range[32] chunck[1] size[100]
op[1295] range[33] chunck[1] size[100]
op[1249] range[34] chunck[1] size[100]
op[1242] range[35] chunck[1] size[100]
op[1275] range[36] chunck[1] size[100]
op[1257] range[37] chunck[1] size[100]
op[1241] range[38] chunck[1] size[100]
op[1254] range[39] chunck[1] size[100]
op[1298] range[40] chunck[1] size[100]
op[1430] range[41] chunck[1] size[100]
op[1435] range[42] chunck[1] size[100]
op[1407] range[43] chunck[1] size[100]
op[1305] range[44] chunck[1] size[100]
op[1324] range[45] chunck[1] size[100]
op[1312] range[46] chunck[1] size[100]
op[1426] range[47] chunck[1] size[100]
op[1414] range[48] chunck[1] size[100]
op[1391] range[49] chunck[1] size[100]
op[1405] range[50] chunck[1] size[100]
op[1419] range[51] chunck[1] size[100]
op[1361] range[52] chunck[1] size[100]
op[1377] range[53] chunck[1] size[100]
op[1371] range[54] chunck[1] size[100]
op[1313] range[55] chunck[1] size[100]
op[1313] range[56] chunck[1] size[100]
op[1369] range[57] chunck[1] size[100]
op[1385] range[58] chunck[1] size[100]
op[1435] range[59] chunck[1] size[100]
op[1368] range[60] chunck[1] size[100]
op[1362] range[61] chunck[1] size[100]
op[1402] range[62] chunck[1] size[100]
op[1444] range[63] chunck[1] size[100]
op[1433] range[64] chunck[1] size[100]
op[1400] range[65] chunck[1] size[100]
op[1381] range[66] chunck[1] size[100]
op[1377] range[67] chunck[1] size[100]
op[1394] range[68] chunck[1] size[100]
op[1403] range[69] chunck[1] size[100]
op[1416] range[70] chunck[1] size[100]
op[1459] range[71] chunck[1] size[100]
op[1467] range[72] chunck[1] size[100]
op[1620] range[73] chunck[1] size[100]
op[1578] range[74] chunck[1] size[100]
op[1612] range[75] chunck[1] size[100]
op[1618] range[76] chunck[1] size[100]
op[1596] range[77] chunck[1] size[100]
op[1490] range[78] chunck[1] size[100]
op[1486] range[79] chunck[1] size[100]
op[1492] range[80] chunck[1] size[100]
op[1501] range[81] chunck[1] size[100]
op[1505] range[82] chunck[1] size[100]
op[1509] range[83] chunck[1] size[100]
op[1504] range[84] chunck[1] size[100]
op[1537] range[85] chunck[1] size[100]
op[1542] range[86] chunck[1] size[100]
op[1567] range[87] chunck[1] size[100]
op[1567] range[88] chunck[1] size[100]
op[1561] range[89] chunck[1] size[100]
op[1535] range[90] chunck[1] size[100]
op[1542] range[91] chunck[1] size[100]
op[1542] range[92] chunck[1] size[100]
op[1540] range[93] chunck[1] size[100]
op[1515] range[94] chunck[1] size[100]
op[1534] range[95] chunck[1] size[100]
op[1534] range[96] chunck[1] size[100]
op[1534] range[97] chunck[1] size[100]
op[1534] range[98] chunck[1] size[100]
op[1534] range[99] chunck[1] size[100]
op[1534] range[100] chunck[1] size[100]
op[1534] range[101] chunck[1] size[100]
op[1534] range[102] chunck[1] size[100]
op[1534] range[103] chunck[1] size[100]
op[1534] range[104] chunck[1] size[100]
op[1534] range[105] chunck[1] size[100]
op[1534] range[106] chunck[1] size[100]
op[1534] range[107] chunck[1] size[100]
op[1534] range[108] chunck[1] size[100]
op[1534] range[109] chunck[1] size[100]
op[1534] range[110] chunck[1] size[100]
op[1534] range[111] chunck[1] size[100]
op[1534] range[112] chunck[1] size[100]
op[1534] range[113] chunck[1] size[100]
op[1534] range[114] chunck[1] size[100]
op[1534] range[115] chunck[1] size[100]
op[1534] range[116] chunck[1] size[100]
op[1534] range[117] chunck[1] size[100]
op[1534] range[118] chunck[1] size[100]
op[1534] range[119] chunck[1] size[100]
op[1534] range[120] chunck[1] size[100]
op[1534] range[121] chunck[1] size[100]
op[1534] range[122] chunck[1] size[100]
op[1534] range[123] chunck[1] size[100]
op[1534] range[124] chunck[1] size[100]
op[1534] range[125] chunck[1] size[100]
op[1534] range[126] chunck[1] size[100]
op[1534] range[127] chunck[1] size[100]
op[1534] range[128] chunck[1] size[100]
op[1534] range[129] chunck[1] size[100]
op[1534] range[130] chunck[1] size[100]
op[1534] range[131] chunck[1] size[100]
op[1534] range[132] chunck[1] size[100]
op[1534] range[133] chunck[1] size[100]
op[1534] range[134] chunck[1] size[100]
op[1534] range[135] chunck[1] size[100]
op[1534] range[136] chunck[1] size[100]
op[1534] range[137] chunck[1] size[100]
op[1534] range[138] chunck[1] size[100]
op[1534] range[139] chunck[1] size[100]
op[1534] range[140] chunck[1] size[100]
op[1534] range[141] chunck[1] size[100]
op[1534] range[142] chunck[1] size[100]
op[1534] range[143] chunck[1] size[100]
op[1534] range[144] chunck[1] size[100]
op[1534] range[145] chunck[1] size[100]
op[1534] range[146] chunck[1] size[100]
op[1534] range[147] chunck[1] size[100]
op[1534] range[148] chunck[1] size[100]
op[1534] range[149] chunck[1] size[100]
op[1534] range[150] chunck[1] size[100]
new chunck 2
op[858] range[0] chunck[2] size[100]
op[833] range[1] chunck[2] size[100]
op[812] range[2] chunck[2] size[100]
op[813] range[3] chunck[2] size[100]
op[784] range[4] chunck[2] size[100]
op[794] range[5] chunck[2] size[100]
op[831] range[6] chunck[2] size[100]
op[823] range[7] chunck[2] size[100]
op[863] range[8] chunck[2] size[100]
op[900] range[9] chunck[2] size[100]
op[879] range[10] chunck[2] size[100]
op[927] range[11] chunck[2] size[100]
op[945] range[12] chunck[2] size[100]
op[1006] range[13] chunck[2] size[100]
op[991] range[14] chunck[2] size[100]
op[983] range[15] chunck[2] size[100]
op[1013] range[16] chunck[2] size[100]
op[963] range[17] chunck[2] size[100]
op[972] range[18] chunck[2] size[100]
op[994] range[19] chunck[2] size[100]
op[1014] range[20] chunck[2] size[100]
op[989] range[21] chunck[2] size[100]
op[1041] range[22] chunck[2] size[100]
op[1066] range[23] chunck[2] size[100]
op[1079] range[24] chunck[2] size[100]
op[1060] range[25] chunck[2] size[100]
op[1118] range[26] chunck[2] size[100]
op[1125] range[27] chunck[2] size[100]
op[1246] range[28] chunck[2] size[100]
op[1103] range[29] chunck[2] size[100]
op[1177] range[30] chunck[2] size[100]
op[1173] range[31] chunck[2] size[100]
op[1220] range[32] chunck[2] size[100]
op[1159] range[33] chunck[2] size[100]
op[1208] range[34] chunck[2] size[100]
op[1162] range[35] chunck[2] size[100]
op[1176] range[36] chunck[2] size[100]
op[1173] range[37] chunck[2] size[100]
op[1177] range[38] chunck[2] size[100]
op[1172] range[39] chunck[2] size[100]
op[1165] range[40] chunck[2] size[100]
op[1178] range[41] chunck[2] size[100]
op[1176] range[42] chunck[2] size[100]
op[1227] range[43] chunck[2] size[100]
op[1274] range[44] chunck[2] size[100]
op[1278] range[45] chunck[2] size[100]
op[1290] range[46] chunck[2] size[100]
op[1276] range[47] chunck[2] size[100]
op[1182] range[48] chunck[2] size[100]
op[1202] range[49] chunck[2] size[100]
op[1228] range[50] chunck[2] size[100]
op[1270] range[51] chunck[2] size[100]
op[1240] range[52] chunck[2] size[100]
op[1258] range[53] chunck[2] size[100]
op[1218] range[54] chunck[2] size[100]
op[1222] range[55] chunck[2] size[100]
op[1242] range[56] chunck[2] size[100]
op[1220] range[57] chunck[2] size[100]
op[1198] range[58] chunck[2] size[100]
op[1164] range[59] chunck[2] size[100]
op[1152] range[60] chunck[2] size[100]
op[1158] range[61] chunck[2] size[100]
op[1164] range[62] chunck[2] size[100]
op[1178] range[63] chunck[2] size[100]
op[1194] range[64] chunck[2] size[100]
op[1208] range[65] chunck[2] size[100]
op[1220] range[66] chunck[2] size[100]
op[1222] range[67] chunck[2] size[100]
op[1238] range[68] chunck[2] size[100]
op[1242] range[69] chunck[2] size[100]
op[1204] range[70] chunck[2] size[100]
op[1174] range[71] chunck[2] size[100]
op[1188] range[72] chunck[2] size[100]
op[1212] range[73] chunck[2] size[100]
op[1212] range[74] chunck[2] size[100]
op[1200] range[75] chunck[2] size[100]
op[1214] range[76] chunck[2] size[100]
op[1234] range[77] chunck[2] size[100]
op[1214] range[78] chunck[2] size[100]
op[1224] range[79] chunck[2] size[100]
op[1214] range[80] chunck[2] size[100]
op[1214] range[81] chunck[2] size[100]
op[1222] range[82] chunck[2] size[100]
op[1216] range[83] chunck[2] size[100]
op[1224] range[84] chunck[2] size[100]
op[1218] range[85] chunck[2] size[100]
op[1220] range[86] chunck[2] size[100]
